en	(9521755, 43.28733341028451%)
xmf	(184, 0.0008364917336659418%)
ie	(183, 0.0008319455829394965%)
udm	(180, 0.0008183071307601606%)
dsb	(179, 0.0008137609800337152%)
xal	(178, 0.0008092148293072698%)
nv	(177, 0.0008046686785808244%)
ln	(176, 0.0008001225278543792%)
bpy	(175, 0.0007955763771279338%)
ch	(173, 0.0007864840756750432%)
pam	(168, 0.0007637533220428164%)
stq	(166, 0.0007546610205899258%)
fiu-vro	(163, 0.0007410225684105898%)
ab	(162, 0.0007364764176841444%)
rw	(162, 0.0007364764176841444%)
sd	(162, 0.0007364764176841444%)
av	(159, 0.0007228379655048084%)
gag	(158, 0.0007182918147783631%)
cbk-zam	(157, 0.0007137456640519178%)
bjn	(156, 0.0007091995133254724%)
tet	(156, 0.0007091995133254724%)
arc	(152, 0.0006910149104196911%)
dty	(151, 0.0006864687596932458%)
mai	(150, 0.0006819226089668004%)
olo	(149, 0.0006773764582403551%)
ace	(144, 0.0006546457046081284%)
mwl	(140, 0.0006364611017023471%)
mdf	(139, 0.0006319149509759017%)
myv	(138, 0.0006273688002494564%)
nap	(137, 0.000622822649523011%)
krc	(134, 0.000609184197343675%)
kbd	(133, 0.0006046380466172297%)
lij	(132, 0.0006000918958907844%)
nso	(129, 0.0005864534437114484%)
pfl	(126, 0.0005728149915321124%)
koi	(123, 0.0005591765393527763%)
iu	(122, 0.000554630388626331%)
mt	(117, 0.0005318996349941043%)
sc	(117, 0.0005318996349941043%)
kaa	(107, 0.000486438127729651%)
kab	(104, 0.000472799675550315%)
nrm	(103, 0.0004682535248238696%)
kl	(99, 0.0004500689219180883%)
lez	(99, 0.0004500689219180883%)
bug	(96, 0.0004364304697387523%)
za	(94, 0.00042733816828586157%)
ts	(92, 0.0004182458668329709%)
pag	(88, 0.0004000612639271896%)
jbo	(87, 0.0003955151132007442%)
pap	(85, 0.0003864228117478536%)
cu	(76, 0.00034550745520984556%)
tpi	(76, 0.00034550745520984556%)
ay	(75, 0.0003409613044834002%)
roa-rup	(75, 0.0003409613044834002%)
kw	(74, 0.0003364151537569549%)
ua	(69, 0.0003136844001247282%)
tcy	(67, 0.0003045920986718375%)
chr	(63, 0.0002864074957660562%)
kv	(60, 0.00027276904358672013%)
bm	(58, 0.0002636767421338295%)
nov	(58, 0.0002636767421338295%)
tn	(58, 0.0002636767421338295%)
tyv	(57, 0.00025913059140738416%)
zu	(57, 0.00025913059140738416%)
xh	(55, 0.0002500382899544935%)
tum	(54, 0.00024549213922804813%)
gom	(53, 0.0002409459885016028%)
kg	(51, 0.00023185368704871216%)
st	(51, 0.00023185368704871216%)
zea	(50, 0.00022730753632226681%)
ny	(46, 0.00020912293341648544%)
om	(46, 0.00020912293341648544%)
wo	(46, 0.00020912293341648544%)
kbp	(44, 0.0002000306319635948%)
sm	(43, 0.00019548448123714944%)
fj	(41, 0.00018639217978425878%)
sg	(41, 0.00018639217978425878%)
mrj	(40, 0.00018184602905781344%)
na	(39, 0.0001772998783313681%)
haw	(38, 0.00017275372760492278%)
ss	(38, 0.00017275372760492278%)
ak	(37, 0.00016820757687847744%)
nostalgia	(37, 0.00016820757687847744%)
pih	(37, 0.00016820757687847744%)
rmy	(37, 0.00016820757687847744%)
ki	(36, 0.0001636614261520321%)
ti	(36, 0.0001636614261520321%)
dk	(34, 0.00015456912469914144%)
ltg	(34, 0.00015456912469914144%)
bi	(33, 0.0001500229739726961%)
got	(33, 0.0001500229739726961%)
ee	(32, 0.00014547682324625075%)
lbe	(32, 0.00014547682324625075%)
srn	(31, 0.00014093067251980544%)
tw	(31, 0.00014093067251980544%)
atj	(30, 0.00013638452179336007%)
ik	(30, 0.00013638452179336007%)
mx	(30, 0.00013638452179336007%)
ady	(29, 0.00013183837106691475%)
pnt	(29, 0.00013183837106691475%)
chy	(28, 0.0001272922203404694%)
ii	(26, 0.00011819991888757875%)
lrc	(26, 0.00011819991888757875%)
glk	(24, 0.00010910761743468808%)
lg	(21, 9.546916525535205e-05%)
test2	(21, 9.546916525535205e-05%)
to	(19, 8.637686380246139e-05%)
ten	(17, 7.728456234957072e-05%)
rn	(16, 7.273841162312538e-05%)
aa	(14, 6.36461101702347e-05%)
dz	(14, 6.36461101702347e-05%)
ks	(14, 6.36461101702347e-05%)
ve	(14, 6.36461101702347e-05%)
bd	(13, 5.9099959443789375e-05%)
din	(13, 5.9099959443789375e-05%)
ff	(13, 5.9099959443789375e-05%)
pi	(13, 5.9099959443789375e-05%)
cr	(12, 5.455380871734404e-05%)
test	(12, 5.455380871734404e-05%)
ty	(12, 5.455380871734404e-05%)
cho	(7, 3.182305508511735e-05%)
kr	(6, 2.727690435867202e-05%)
hz	(5, 2.273075363222668e-05%)
mh	(5, 2.273075363222668e-05%)
rs	(4, 1.8184602905781344e-05%)
ho	(3, 1.363845217933601e-05%)
mus	(3, 1.363845217933601e-05%)
ng	(3, 1.363845217933601e-05%)
cn	(2, 9.092301452890672e-06%)
nz	(2, 9.092301452890672e-06%)
ec	(1, 4.546150726445336e-06%)
kj	(1, 4.546150726445336e-06%)
